MovieID,Title,Genres,tmdbID
1,Toy Story (1995),Animation|Children's|Comedy,862
2,Jumanji (1995),Adventure|Children's|Fantasy,8844
3,Grumpier Old Men (1995),Comedy|Romance,15602
4,Waiting to Exhale (1995),Comedy|Drama,31357
5,Father of the Bride Part II (1995),Comedy,11862
6,Heat (1995),Action|Crime|Thriller,949
7,Sabrina (1995),Comedy|Romance,11860
8,Tom and Huck (1995),Adventure|Children's,45325
9,Sudden Death (1995),Action,9091
10,GoldenEye (1995),Action|Adventure|Thriller,710
11,"American President, The (1995)",Comedy|Drama|Romance,9087
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110
13,Balto (1995),Animation|Children's,21032
14,Nixon (1995),Drama,10858
15,Cutthroat Island (1995),Action|Adventure|Romance,1408
16,Casino (1995),Drama|Thriller,524
17,Sense and Sensibility (1995),Drama|Romance,4584
18,Four Rooms (1995),Thriller,5
19,Ace Ventura: When Nature Calls (1995),Comedy,9273
20,Money Train (1995),Action,11517
21,Get Shorty (1995),Action|Comedy|Drama,8012
22,Copycat (1995),Crime|Drama|Thriller,1710
23,Assassins (1995),Thriller,9691
24,Powder (1995),Drama|Sci-Fi,12665
25,Leaving Las Vegas (1995),Drama|Romance,451
26,Othello (1995),Drama,16420
27,Now and Then (1995),Drama,9263
28,Persuasion (1995),Romance,17015
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,37557
31,Dangerous Minds (1995),Drama,9909
32,Twelve Monkeys (1995),Drama|Sci-Fi,63
33,Wings of Courage (1995),Adventure|Romance,78802
34,Babe (1995),Children's|Comedy|Drama,9598
35,Carrington (1995),Drama|Romance,47018
36,Dead Man Walking (1995),Drama,687
37,Across the Sea of Time (1995),Documentary,139405
38,It Takes Two (1995),Comedy,33689
39,Clueless (1995),Comedy|Romance,9603
40,"Cry, the Beloved Country (1995)",Drama,34615
41,Richard III (1995),Drama|War,31174
42,Dead Presidents (1995),Action|Crime|Drama,11443
43,Restoration (1995),Drama,35196
44,Mortal Kombat (1995),Action|Adventure,9312
45,To Die For (1995),Comedy|Drama,577
46,How to Make an American Quilt (1995),Drama|Romance,11861
47,Seven (Se7en) (1995),Crime|Thriller,807
48,Pocahontas (1995),Animation|Children's|Musical|Romance,10530
49,When Night Is Falling (1995),Drama|Romance,8391
50,"Usual Suspects, The (1995)",Crime|Thriller,629
51,Guardian Angel (1994),Action|Drama|Thriller,117164
52,Mighty Aphrodite (1995),Comedy,11448
53,Lamerica (1994),Drama,49133
54,"Big Green, The (1995)",Children's|Comedy,26441
55,Georgia (1995),Drama,97406
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,124057
57,Home for the Holidays (1995),Drama,9089
58,"Postino, Il (The Postman) (1994)",Drama|Romance,11010
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,99040
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,11359
61,Eye for an Eye (1996),Drama|Thriller,17182
62,Mr. Holland's Opus (1995),Drama,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,10607
64,Two if by Sea (1996),Comedy|Romance,19760
65,Bio-Dome (1996),Comedy,9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,11525
67,Two Bits (1995),Drama,40628
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482
69,Friday (1995),Comedy,10634
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,755
71,Fair Game (1995),Action,11859
72,Kicking and Screaming (1995),Comedy|Drama,28387
73,"Misérables, Les (1995)",Drama|Musical,48750
74,Bed of Roses (1996),Drama|Romance,20927
75,Big Bully (1996),Comedy|Drama,36929
76,Screamers (1995),Sci-Fi|Thriller,9102
77,Nico Icon (1995),Documentary,124626
78,"Crossing Guard, The (1995)",Drama,27526
79,"Juror, The (1996)",Drama|Thriller,9623
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,46785
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,400
82,Antonia's Line (Antonia) (1995),Drama,880
83,Once Upon a Time... When We Were Colored (1995),Drama,146599
84,Last Summer in the Hamptons (1995),Comedy|Drama,188588
85,Angels and Insects (1995),Drama|Romance,8447
86,White Squall (1996),Adventure|Drama,10534
87,Dunston Checks In (1996),Children's|Comedy,17414
88,Black Sheep (1996),Comedy,13997
89,Nick of Time (1995),Action|Thriller,2086
90,"Journey of August King, The (1995)",Drama,61548
92,Mary Reilly (1996),Drama|Thriller,9095
93,Vampire in Brooklyn (1995),Comedy|Romance,12158
94,Beautiful Girls (1996),Drama,9283
95,Broken Arrow (1996),Action|Thriller,9208
96,In the Bleak Midwinter (1995),Comedy,40154
97,"Hate (Haine, La) (1995)",Drama,406
98,Shopping (1994),Action|Thriller,45549
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076
100,City Hall (1996),Drama|Thriller,11062
101,Bottle Rocket (1996),Comedy,13685
102,Mr. Wrong (1996),Comedy,47475
103,Unforgettable (1996),Thriller,2045
104,Happy Gilmore (1996),Comedy,9614
105,"Bridges of Madison County, The (1995)",Drama|Romance,688
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,11907
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,10874
108,Catwalk (1995),Documentary,89333
109,Headless Body in Topless Bar (1995),Comedy,96357
110,Braveheart (1995),Action|Drama|War,197
111,Taxi Driver (1976),Drama|Thriller,103
112,Rumble in the Bronx (1995),Action|Adventure|Crime,33542
113,Before and After (1996),Drama|Mystery,43566
114,Margaret's Museum (1995),Drama,71754
115,Happiness Is in the Field (1995),Comedy,43612
116,Anne Frank Remembered (1995),Documentary,51352
117,"Young Poisoner's Handbook, The (1995)",Crime,16934
118,If Lucy Fell (1996),Comedy|Romance,10324
119,"Steal Big, Steal Little (1995)",Comedy,78406
120,Race the Sun (1996),Drama,55731
121,"Boys of St. Vincent, The (1993)",Drama,32119
